800
CS471  Arnold, Hayley
CS455  Mcpherson, Lucy
CS455  Mills, Jinghua
CS455  Page, Sumant
CS455  Rollins, Amy
CS455  Waldo, Balaje
CS455  Wright, Cruz
ENGL110  Belter, Sonny
ENGL110  Bhaktaram, Tawanda
ENGL110  Goff, Allen
ENGL110  Mays, Billylee
ENGL110  Mccurdy, Emechete
ENGL110  Svetahor, Darriel
ENGL110  Woods, Roderick
ENGL110  Zimmerebner, Jean
CS455  Atherley, Justin
CS455  Castillo, Fahad
CS455  Griffith, Francis
CS455  Kidd, Ahmad
CS455  Muhammad, Gustavo
CS455  Ravichandran, Yunzhe
CS455  Tomioka, Vaibhav
CS455  Waun, Usman
HIST100  Chapman, Gustavo
HIST100  La, Blair
CS455  Ellington, Lakesha
CS455  Melkonian, Xiaobing
CS455  Stamaria, Koura
STAT400  Barnes, Liana
STAT400  Bright, Marino
STAT400  Hyder, Tricia
STAT400  Linthicum, Vadim
STAT400  Pucher, Annesheia
STAT400  Treto, Joseph
CS300U  Acker, Jaysen
CS300U  Al-douli, Suwit
CS300U  Bilodeau, Ricardo
CS300U  Flake, Tariq
CS300U  Holman, Myka
CS300U  Ishfaq, Abdullah
CS300U  Marshall, Gustavo
CS300U  Mills, Jinghua
CS300U  Panek, Ricardo
CS300U  Rollins, Amy
CS300U  Vu, Catherine
CS300U  Woltz, Jullanar
CS300U  Burnett, Analyn
CS300U  Clark, Tameishaon
CS300U  Farrell, Teonette
CS300U  Fei, Tawana
CS300U  Mitchell, Jeremiah
CS300U  Oliverio, Nasrin
CS300U  Olszyk, Fu-sheng
CS300U  Rusak, Odell
CS300U  Schuhmann, Surendar
CS300U  Shealy, Gustavo
CS300U  Srimushnam, Cuc
CS300U  Barnes, Maria
CS300U  Dupree, Leigha
CS300U  Lopez, Tariq
CS300U  Tenia, Addiel
CS390  Dammalapati, Tameishaon
CS390  Kholief, Catherine
CS390  Lowery, Ricardo
CS390  Lungrin, Gustavo
CS390  Malik, Niya
CS390  Mcghee, Valentina
CS390  Mcvicker, Gustavo
CS390  Mitchell, Jeremiah
CS390  Reasor, Hamid
CS390  Rollins, Amy
CS390  Satchell, Trelane
CS390  Zaini, Trennell
CS390  Britt, Vivek
CS390  Fei, Tawana
CS390  Graybill, Ahmad
CS390  Legg, Lakesha
CS390  Mansfield, Catherine
CS390  Narra, Julie
CS390  Sause, Rajiv
CS390  Sullivan, Dennison
CS390  Van, Joseph
CS390  West, Bernard
CS390  Wheeler, Aaron
CS390  Bergan, Lakesha
CS390  Graham, Donell
CS390  Griffith, Francis
CS390  Potter, Gustavo
CS495  Caasi, Ilya
CS495  Caplinger, Tawana
CS495  Dais, Roland
CS495  Flake, Tariq
CS495  Kowalsky, Hesham
CS495  Malik, Niya
CS495  Pogue, Andrey
CS495  Pogue, Brahmadatt
CS495  Robertson, Gerard
PHY101  Breeden, Christie
PHY101  Doligosa, Kailash
PHY101  Fiala, Stephanie
PHY101  Harper, Shejun
PHY101  Lokey, Jerrl
PHY101  Moniot, Steven
PHY101  Richardson, Juan
PHY101  Stratton, Solomon
PHY101  Upadhyay, Alexis
PHY101  Yoon, Lakesha
CS495  Mack, Lakesha
CS495  Muhammad, Gustavo
CS495  Nowak, Vikram
CS495  Powles, Tawana
CS495  Rusak, Ricardo
CS495  West, Bernard
PHY102  Bundy, Stephan
PHY102  Grigsby, Roshanda
PHY102  Parrish, Rodney
CS495  Koh, Nehemiah
CS495  Arthur, Emile
CS495  Bremerman, Anthony
CS495  Bueno, Benjamin
CS495  Canova, Arthur
CS495  Deloach, Vuong
CS495  Dharanikota, Jaysen
CS495  Graham, Donell
CS495  Kholief, Catherine
CS495  Marr, Darice
CS495  Mills, Jinghua
CS495  Nowak, Vikram
CS495  Sause, Rajiv
CS495  Sotomayor, Stacy
ACCT110  Burnette, Jianing
ACCT110  Calderon, Sherri
ACCT110  Floyd, Cathea
ACCT110  Gaertner, Tamzen
ACCT110  Hutchinson, Dongpei
ACCT110  Picard, Gregory
ACCT110  Scarpelli, Preston
CS495  Britt, Vivek
CS495  Bueno, Juanita
CS495  Candies, Iman
CS495  Jakatdar, Ezra
CS495  Pascual, Sonny
CS495  Robinson, Tawana
CS495  Smyth, Abolawole
CS495  Waun, Usman
CS495  Mukherjee, Cynthia
CS495  Reid, Teerasak
CS791  Byrd, Barbara
CS417  Al-mutairi, Damien
CS417  Silagyi, Milind
CS791  Greaves, Waleed
CS791  Woods, Claude
CHEM201  Ding, Sherman
CHEM201  Howell, Christophe
CHEM201  Kyzer, Gustavo
CHEM201  Musser, Edmundo
CHEM201  Silagyi, Milind
CS791  Calderon, Sherri
CHEM202  Lutman, Geoffrey
CHEM202  Smolewski, Lena
CHEM202  Snead, Tameishaon
CS791  Barner, Mason
CS791  Beavers, Alexandre
CS791  Cuckov, La'kia
CS791  Echevarria, Prem
CS791  Lu, Lakesha
CS791  Marino, Trudy
CS791  Pasko, Brent
CS791  Pittman, Ii
CS791  Sattar, Shaker
CS791  Seyoum, Xkoshan
CS791  Blackmon, Markeese
CS791  Hong, Gholam
CS791  Davidson, Janelle
CHEM302  Hong, Robin
CHEM302  Crichton, Sonny
CS796  Yayla, Akia
CHEM252  Musser, Edmundo
CHEM253  Snead, Tameishaon
CS796  Sattar, Anh
CS796  Tomioka, Gerhard
CS796  Pearson, Nicole
CS796  Hensberger, Kamuanga
CS796  Hong, Gholam
CS796  Woods, Claude
ART101  Finerfrock, Ebony
ART101  Howell, Christophe
CS899  Fontimayor, Li
CS899  Howell, Christophe
CS899  Silagyi, Milind
CS899  Snead, Tameishaon
CS899  Musser, Edmundo
CS899  Fleming, Lakeisha
CS899  Stratton, Secoria
CS899  Al-mutairi, Damien
CS899  Ding, Sherman
CS899  Vernon, Esling
CS899  Dryer, Craig
CS899  Lutman, Geoffrey
CS899  Kyzer, Gustavo
CS899  Crichton, Sonny
CS899  Smolewski, Lena
CS899  Fleming, Lakeisha
CS899  Finerfrock, Ebony
CS367  Cornelison, Vladimir
CS367  Settar, Stacie
CS367  Cai, Candaice
CS367  Candies, Iman
CS367  Endsley, Filip
CS367  Flake, Tariq
CS367  Greco, Philip
CS367  Sause, Rajiv
CS368  Sotomayor, Stacy
CS368  Baldwin, Gustavo
CS368  Bannon, Carlin
CS368  Barbour, Sarah-jean
CS368  Bueno, Anya
CS368  Bunch, Mingxia
CS368  Dharanikota, Jaysen
CS368  Koh, Nehemiah
CS368  Lester, Angela
CS368  Malik, Niya
CS368  Natividad, Ricardo
CS368  Potter, Gustavo
CS497  Ostrem, Candaice
CS667  Adams, Alphonso
CS667  Bao, Deandre
CS667  Hairston, Viet
CS667  Jenkins, Mohammad
CS667  Keller, Lindelwa
CS667  Keller, Nicholas
CS667  Linthicum, Ralph
CS667  Majithia, Yvonne
CS667  Mcalister, Percy
CS667  Navarro, Latron
CS667  Olson, Dexter
CS667  Siripant, Hugh
CS667  Slight, Dmitry
CS667  Svetahor, Brielle
CS697  Dye, Xin
CS697  Ejike, Agustin
CS697  Junio, Tamas
CS697  O'reilly, Chunxiang
CS697  Swao, Barbara
CS697  Tomioka, Gerhard
CS698  Goldstein, Courtney
CS698  Gorozabel, Luz
CS698  Grosz, Frank
CS698  Linthicum, Chien-liang
CS698  Linthicum, Ralph
CS698  Mills, Kerry
CS698  O,'reilly Chunxiang
CS698  Tirol, Kyra
CS698  Williams, Keith
CS698  Woodbury, Jeffrey
CS311  Bush, Jill
CS311  Corton, Marty
CS311  Diehl, Adam
CS311  Dolt, Allison
CS311  Harris, Andrae
CS311  Hyder, Catherine
CS311  Levow, Sahar
CS311  Palmer, Robert
CS311  Pascual, Muhammad
CS311  Principe, Jeffrey
CS311  Simpkins, Chata
CS311  Snellings, Catherine
CS311  Tomioka, Vaibhav
CS311  Walker, Allen
CS311  Wigginton, Donell
CS270  An, Chethana
CS270  Balingit, Catherine
CS270  Cherinka, Sonny
CS270  Choi, Ezra
CS270  Dickenson, Nichole
CS270  Faxio, Michael
CS270  Gibbs, Yohannes
CS270  Gilmartin, Ahmad
CS270  Harms, Sonny
CS270  Heidari, Balaji
CS270  Hunter, Harold
CS270  James, Brook
CS270  Lawson, Timothy
CS270  Mcgill, Rhonda
CS270  Moren, Odell
CS270  Nichols, Anthony
CS270  Ostrem, Candaice
CS270  Parker, Kailash
CS270  Reyes, Gustavo
CS270  Rocha, Rashad
CS270  Snellings, Catherine
CS270  Valentine, Edmundo
CS270  Waldecker, Arthur
CS270  Walia, Kshama
CS270  Whiley, Tameishaon
CS270  Wigginton, Donell
CS270  Woltz, Jullanar
CS270  Zeher, Alfred
CS150  Abou, Analyn
CS150  Annih, Jaysen
CS150  Bowser, Thomasina
CS150  Branch, Jianqiu
CS150  Burkett, Joshua
CS150  Byers, Sonny
CS150  Candies, Jon
CS150  Caplinger, Latashia
CS150  Chaganti, Joel
CS150  Chatkaewmorakot, Ricardo
CS150  Clement, Tameishaon
CS150  Custis, Jason
CS150  Das, Catherine
CS150  Degraaf, Toan
CS150  Deguzman, Dorathy
CS150  Dennis, Syed
CS150  Determan, Md
CS150  Edwards, Tameishaon
CS150  Evans, Ronda
CS150  Farjam, Derrick
CS150  Field, Abdullah
CS150  Flood, Sarah
CS150  Ghazanfar, Turkesa
CS150  Giese, Brian
CS150  Gifford, Ravikumar
CS150  Graves, Rong
CS150  Grindley, Tanya
CS150  He, Lashema
CS150  Hensley, Misbahuddin
CS150  Higgins, Kevin
CS150  Holtzclaw, Scott
CS150  Howard, Rajiv
CS150  Ianuzi, Roshonda
CS150  Kertesz, Rajiv
CS150  Keshava, Jaysen
CS150  Lopez, Audra
CS150  Matthews, Gustavo
CS150  Mckee, Tariq
CS150  Mojica, Ahmad
CS150  Mojica, Clinton
CS150  Nazar, Matt
CS150  Nurney, Lujain
CS150  Reeves, Ahmad
CS150  Sadowski, Samantha
CS150  Sagedy, Richard
CS150  Schwartz, L
CS150  Seaborn, Lindsay
CS150  Swaney, Alex
CS150  Weddington, Lauren
CS150  Weller, Sabria
CS150  Wolfson, Rhonda
CS150  Yang, Stephen
CS150  Annih, Jaysen
CS150  Bowser, Thomasina
CS150  Chaganti, Joel
CS150  Chatkaewmorakot, Ricardo
CS150  Clement, Tameishaon
CS150  Edwards, Tameishaon
CS150  Field, Abdullah
CS150  Ghazanfar, Turkesa
CS150  Gifford, Ravikumar
CS150  Higgins, Kevin
CS150  Howard, Rajiv
CS150  Keshava, Jaysen
CS150  Reeves, Ahmad
CS150  Sadowski, Samantha
CS150  Wolfson, Rhonda
CS150  Yang, Stephen
CS150  Branch, Jianqiu
CS150  Byers, Sonny
CS150  Caplinger, Latashia
CS150  Degraaf, Toan
CS150  Engstrand, Angela
CS150  Giese, Brian
CS150  Holtzclaw, Scott
CS150  Kertesz, Rajiv
CS150  Lopez, Audra
CS150  Mahmuda, Grazia
CS150  Mojica, Ahmad
CS150  Mundell, Christian
CS150  Nurney, Lujain
CS150  Ogunleye, Tameishaon
CS150  Seaborn, Lindsay
CS744  Baank, Pavan
CS744  Gorozabel, Luz
CS744  Hobson, Judith
CS744  Manke, Maximo
CS744  Noble, Jillian
CS744  Redmond, Patrycja
CS744  Riddick, Tameishaon
CS744  Seavey, Dilip
CS744  Woodbury, Jeffrey
CS660  Bhaktaram, Tawanda
CS660  Chertov, Liyat
CS660  Clayton, Rajiv
CS660  Ford, Donald
CS660  Gorozabel, Luz
CS660  Larossa, Yang
CS660  Lutman, Gustavo
CS660  Parker, Vadim
CS660  Paysinger, Raj
CS660  Rithamel, Avery
CS660  Rivera, Jesse
CS660  Simcoe, Andrea
CS660  Swao, Barbara
CS150  Aiken, Roberto
CS150  Al-douli, Gustavo
CS150  Bach, Ruth
CS150  Blankenship, Kelly
CS150  Cancado, Fahad
CS150  Dennis, Syed
CS150  Determan, Md
CS150  Gomez, Megan
CS150  Graves, Rong
CS150  Lobo, Hesham
CS150  Major, Samuel
CS150  Mallavaram, Anthony
CS150  Medapati, Boris
CS150  Paganelli, Adnan
CS150  Pereras, Elron
CS150  Pezzetti, Yusong
CS150  Pizzillo, Tameishaon
CS150  Powell, Cleveland
CS150  Schwartz, L
CS150  Sturm, Lara
CS150  Tsai, Anthony
CS150  Webb, Charissa
CS150  Witherspoon,, Satyam
CS150  Zamora, Sheng
CS150  Aman, Samuel
CS150  Blackwell, Chen-chang
CS150  Brill, Shamonda
CS150  Burkett, Joshua
CS150  Cai, Audrey
CS150  Caimol, Sarah-jean
CS150  Chang, Sherrina
CS150  Cordner, Glenn
CS150  Courtney, Sabria
CS150  Coverdale, Emory
CS150  Ferlazzo, Alan
CS150  Freeman, Ray
CS150  Garcia, Anna
CS150  Grindley, Tanya
CS150  He, Lashema
CS150  Hyder, Catherine
CS150  Kost, Jodi
CS150  Lagisetty, Mark
CS150  Lutz, Christina
CS150  Marable, Tameishaon
CS150  Mcclish, Jianqiu
CS150  Mojica, Clinton
CS150  Owen, Latha
CS150  Phillips, Jianqiu
CS150  Pidugu, Kaesha
CS150  Romain, Khang
CS150  Travaglio, Amil
CS150  Waddell, Jaysen
CS150  Woodland, Chen-chang
CS150  Campbell, Chris
CS150  Caplinger, Latashia
CS150  Edgerton, Mong-tuyen
CS150  El-hammouchi, Lashema
CS150  Fajota, Rhonda
CS150  Fajota, Thomas
CS150  Farjam, Derrick
CS150  Hedrick, Dagim
CS150  Hitt, Iii
CS150  Johnson, Jeremy
CS150  Kidd, Shanti
CS150  Logue, Lakesha
CS150  Lopez, Audra
CS150  Maxey, Sonny
CS150  Mundell, Christian
CS150  Ogunleye, Tameishaon
CS150  Simcoe, Tariq
CS150  Tandoc, Latonya
CS150  Toida, Sonny
CS150  Wetherington, Delvin
CS150  Byers, Sonny
CS150  Craft, Jessie
CS150  Deguzman, Dorathy
CS150  Mitchell, Latashia
CS150  Nurney, Lujain
CS150  Patel, Sarah-jean
CS150  Sparks, Gustavo
CS150  Abdel, Marvis
CS150  Alston, Angela
CS150  Bader, Eugene
CS150  Branch, Jianqiu
CS150  D'amico, Balaje
CS150  Hensil, Tameishaon
CS150  Mills, Sachie
CS150  Moseley, Kerry
CS150  Sorrell, Cenk
CS150  Tubyangye, Charissa
CS150  Young, Heidi
CS300U  Adapala, Renate
CS300U  An, Chethana
CS300U  Beeler, Sir
CS300U  Caplinger, Tawana
CS300U  Carter, Amanda
CS300U  Determan, Md
CS300U  Diehl, Adam
CS300U  Evans, Ronda
CS300U  Faison, Gustavo
CS300U  Fauver, Lekeshia
CS300U  Fox, Barton
CS300U  Franklin, Clifford
CS300U  Gulla, Mahmoud
CS300U  Harmon, Kim
CS300U  Huggins, Kary
CS300U  Jank, Edmundo
CS300U  Jefferson, Adam
CS300U  Karande, Gustavo
CS300U  Kormath, Rhonda
CS300U  Lopez, Audra
CS300U  Nichols, Anthony
CS300U  Ost, Xiaobing
CS300U  Ostrem, Candaice
CS300U  Patel, Sarah-jean
CS300U  Rocha, Rashad
CS300U  Russell, Jongsoon
CS300U  Stoner, Natia
CS300U  Trimarchi, Deveda
CS300U  Waldecker, Arthur
CS300U  Ward, Alisa
CS300U  Yelluri, Jaysen
CS665  Brock, Vadim
CS665  Calderon, Sherri
CS665  Collins, Clifton
CS665  Dang, Tawana
CS665  Gerber, Rhoda
CS665  Greaves, Waleed
CS665  Kaiser, Mary
CS665  Kozoyed, Jun
CS665  Robison, Tawana
CS665  Salacup, Xiaobing
CS665  Scarpelli, Preston
CS665  Simcoe, Roneshe
CS665  Woods, Claude
CS665  Woods, Roderick
CS665  Woods, Yunhai
CS281  Adapala, Renate
CS281  Farag, Jeff
CS281  Givens, Kathy
CS281  Gopal, Jillian
CS281  Hampton, Heather
CS281  Lenda, Rahmi
CS281  Malkin, Derek
CS281  Mervicker, Christin
CS281  Mills, Adrian
CS281  Ost, Xiaobing
CS281  Pham, Gerard
CS281  Query, Tameishaon
CS281  Ramirez, Candias
CS281  Stoner, Natia
CS281  Suggs, Christine
CS281  Thymides, Glen
CS281  Yankanwich, Jonathon
ENGL200  Beidel, Lance
ENGL200  Bernard, Alita
ENGL200  Bhaktaram, Tawanda
ENGL200  Black, Adrienne
ENGL200  Blackmon, Markeese
ENGL200  Breeden, Christie
ENGL200  Burnette, Jianing
ENGL200  Byrd, Barbara
ENGL200  Davidson, Janelle
ENGL200  Elmiligui, Moizhussain
ENGL200  Fernandez, Corrigan
ENGL200  Forbes, Dalia
ENGL200  Hensberger, Kamuanga
ENGL200  Kozoyed, Jun
ENGL200  Kuftic, Dean
ENGL200  Rowles, Yunus
ENGL200  Sattar, Anh
ENGL200  Swegan, Vincent
ENGL200  Talkad, William

